Code,idTree,Plot,SubPlot,FieldNbr,Genus,Species,spName,Family,PrefHabitat,Habitat,FW,SW,DW,LSWC,Posmo,Ptlp,mean_Pmidday,FvFm,LA,gmin,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,Position_Crown,Forest,CodeFTH,Measure,SLA,LT,CC,LDMC,RWC,Xutm,Yutm,DBH,TWI,Leaf area,Midrib VLA,2VLA,3VLA,MajVLA
73,104806,6,4,2803,Carapa,surinamensis,Carapa_surinamensis,Meliaceae,BF,BF,2.004,1.955,0.816,1.396,-1.338,-1.734,,0.824,84.13,3.171,14,2,12,3,Mid,Paracou,,,,,,,,,,,,91.46840556,0.182658294,0.796328994,1.756210413,2.735197702
74,102971,6,3,171,Licania,membranacea,Licania_membranacea,Chrysobalanaceae,TF,TF,1.18,1.239,0.481,1.578,-1.595,-1.939,,0.793,95.351,3.702,22,3,20,3,Mid,Paracou,,,,,,,,,,,,108.6667361,0.181806864,0.707489312,3.094582708,3.983878885
75,103117,6,3,324,Bocoa,prouacensis,Bocoa_prouacensis,Fabaceae,Generalist,BF,1.264,1.273,0.593,1.147,-1.253,-1.666,19.798,0.818,70.731,2.339,19,3,17,3,Mid,Paracou,,,,,,,,,,,,77.93889861,0.172988807,0.935209114,0.944361645,2.052559566
76,103259,6,3,473,Eschweilera,coriacea,Eschweilera_coriacea,Lecythidaceae,Generalist,BF,1.658,1.702,0.836,1.035,-1.423,-1.802,15.038,0.818,124.204,1.357,18,3,18,4,Sup,Paracou,,,,,,,,,,,,138.3153167,0.16028206,0.979902062,3.143336146,4.283520267
77,103275,6,3,489,Laetia,procera,Laetia_procera,Salicaceae,BF,BF,2.401,2.431,0.942,1.58,-1.523,-1.881,7.413,0.83,57.994,1.594,32,5,24,3,Inf,Paracou,,,,,,,,,,,,63.62880417,0.211595752,1.291209275,5.467983425,6.970788453
78,103288,6,3,502,Carapa,surinamensis,Carapa_surinamensis,Meliaceae,BF,BF,3.153,3.204,1.37,1.339,-1.35,-1.744,14.433,0.827,188.912,1.959,26,4,21,3,Inf,Paracou,,,,,,,,,,,,187.3585635,0.145926839,0.660514187,0.689533398,1.495974424
79,103499,6,3,726,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,Bignoniaceae,Generalist,TF,0.235,0.236,0.066,2.597,-0.858,-1.35,10,0.829,15.472,3.193,17,2,14,3,Inf,Paracou,,,,,,,,,,,,17.03416111,0.410317053,1.80199693,5.059110492,7.271424474
80,104037,6,4,110,Eschweilera,coriacea,Eschweilera_coriacea,Lecythidaceae,Generalist,BF,2.464,2.494,1.271,0.963,-1.278,-1.686,,0.798,58.824,1.374,30,4,26,3,Inf,Paracou,,,,,,,,,,,,64.70458472,0.242709828,1.278446204,3.185407646,4.706563677
81,104123,6,4,196,Eschweilera,coriacea,Eschweilera_coriacea,Lecythidaceae,Generalist,BF,1.548,1.532,0.714,1.144,-1.248,-1.662,,0.823,43.88,1.247,15,3,15,3,Sup,Paracou,,,,,,,,,,,,47.99500972,0.304938256,1.698575076,4.226253502,6.229766835
82,104116,6,4,189,Conceveiba,guianensis,Conceveiba_guianensis,Euphorbiaceae,Generalist,BF,0.987,0.961,0.397,1.424,-1.565,-1.915,,0.834,76.341,2.071,14,2,14,3,Sup,Paracou,,,,,,,,,,,,83.24171944,0.202156371,0.693807037,2.042346726,2.938310135
83,104783,6,4,2351,Eschweilera,coriacea,Eschweilera_coriacea,Lecythidaceae,Generalist,BF,1.393,1.385,0.509,1.721,-0.988,-1.454,,0.769,41.315,2.982,14,2,10,3,Sup,Paracou,,,,,,,,,,,,45.9689625,0.304145189,1.379469725,5.801830543,7.485445457
84,236720,6,4,2969,Conceveiba,guianensis,Conceveiba_guianensis,Euphorbiaceae,Generalist,BF,1.423,1.419,0.602,1.359,-1.445,-1.82,,0.819,133.903,1.448,12,3,12,3,Sup,Paracou,,,,,,,,,,,,146.6320889,0.135349976,0.455780076,2.062308339,2.653438391
85,104225,6,4,298,Eperua,falcata,Eperua_falcata,Fabaceae,BF,BF,0.839,0.842,0.36,1.341,-1.29,-1.696,,0.761,58.866,1.365,30,4,15,3,Inf,Paracou,,,,,,,,,,,,64.45960556,0.229096548,1.628124035,3.683970977,5.541191559
86,104374,6,4,450,Chrysophyllum,prieurii,Chrysophyllum_prieurii,Sapotaceae,Generalist,TF,,,0.283,,-1.555,-1.907,,0.734,176.596,6.294,18,2,16,2,Mid,Paracou,,,,,,,,,,,,192.6860319,0.123840522,0.617156415,2.467864537,3.208861474
87,104726,6,4,2050,Protium,stevensonii,Protium_stevensonii,Burseraceae,Generalist,TF,0.633,0.633,,,-1.77,-2.079,,0.822,34.981,14.727,20,3,16,3,Inf,Paracou,,,,,,,,,,,,38.73896944,0.245911161,1.241990959,4.151390511,5.639292631
88,203357,6,4,2930,Virola,michelii,Virola_michelii,Myristicaceae,Generalist,TF,0.76,0.766,0.3,1.55,-1.325,-1.724,,0.815,51.2,2.613,12,2,11,3,Mid,Paracou,,,,,,,,,,,,56.43594444,0.342616665,1.67134795,5.746271819,7.760236434
89,178762,6,4,2895,Eschweilera,coriacea,Eschweilera_coriacea,Lecythidaceae,Generalist,TF,0.971,0.981,0.348,1.816,-1.158,-1.59,,0.814,59.673,1.097,12,3,10,3,Mid,Paracou,,,,,,,,,,,,65.44369583,0.248269286,1.223128198,6.316828322,7.788225806
90,104801,6,4,2653,Conceveiba,guianensis,Conceveiba_guianensis,Euphorbiaceae,Generalist,BF,1.602,1.649,0.64,1.576,-1.198,-1.622,,0.831,82.544,1.657,,2,,3,,Paracou,,,,,,,,,,,,90.42043611,0.175002054,0.543700347,2.475299496,3.194001897
91,104363,6,4,439,Conceveiba,guianensis,Conceveiba_guianensis,Euphorbiaceae,Generalist,TF,1.694,1.673,0.714,1.341,-1.385,-1.772,,0.8,122.129,2.635,21,4,18,3,Mid,Paracou,,,,,,,,,,,,134.2204694,0.125420281,0.50777249,1.624005595,2.257198366
92,104378,6,4,454,Chrysophyllum,prieurii,Chrysophyllum_prieurii,Sapotaceae,Generalist,TF,3.456,3.512,1.664,1.111,-2.225,-2.443,,0.797,92.865,0.733,22,2,22,3,Sup,Paracou,,,,,,,,,,,,101.7365194,0.161250799,0.831413909,4.80576492,5.798429628
93,104500,6,4,594,Chrysophyllum,prieurii,Chrysophyllum_prieurii,Sapotaceae,Generalist,TF,2.064,2.063,0.955,1.159,-2.065,-2.315,,0.802,148.75,1.523,29,2,29,3,Sup,Paracou,,,,,,,,,,,,162.7608472,0.12906692,0.716998153,4.442866502,5.288931574
94,104355,6,4,431,Licania,membranacea,Licania_membranacea,Chrysobalanaceae,TF,TF,1.264,1.336,0.545,1.45,-1.55,-1.903,,0.817,57.689,2.747,21,2,19,2,Mid,Paracou,,,,,,,,,,,,63.59340833,0.232575213,1.280719927,3.344658025,4.857953164
95,104215,6,4,288,Tachigali,melinonii,Tachigali_melinonii,Fabaceae,Generalist,BF,0.514,0.517,0.242,1.138,-1.413,-1.794,,0.809,13.717,3.074,38,5,31,5,Mid,Paracou,,,,,,,,,,,,15.14984861,0.491428676,1.889785552,3.134207187,5.515421415
96,104562,6,4,658,Iryanthera,sagotiana,Iryanthera_sagotiana,Myristicaceae,TF,TF,0.824,0.837,0.324,1.583,-1.158,-1.59,,0.682,26.082,3.257,26,3,20,3,Sup,Paracou,,,,,,,,,,,,28.53920972,0.347600639,1.872738032,5.99771932,8.218057992
97,104319,6,4,395,Laetia,procera,Laetia_procera,Salicaceae,BF,BF,2.206,2.258,0.888,1.543,-1.645,-1.979,,0.807,54.311,2.296,32,5,26,5,Sup,Paracou,,,,,,,,,,,,59.68802361,0.183899436,1.314042961,4.935295035,6.433237432
98,145049,14,4,807,Iryanthera,sagotiana,Iryanthera_sagotiana,Myristicaceae,TF,TF,0.922,0.925,0.367,1.523,-1.17,-1.6,,0.824,34.052,0.767,16,2,14,3,Inf,Paracou,,,,,,,,,,,,37.47243056,0.31244608,1.737681209,6.774644008,8.824771297
99,145228,14,4,991,Vouacapoua,americana,Vouacapoua_americana,Fabaceae,TF,TF,0.497,0.498,0.257,0.936,-1.798,-2.101,,0.78,25.486,1.706,16,3,12,4,Inf,Paracou,,,,,,,,,,,,28.24965972,0.407560097,1.678934301,5.907814423,7.994308821
100,145138,14,4,897,Eschweilera,coriacea,Eschweilera_coriacea,Lecythidaceae,Generalist,TF,2.955,3.012,1.112,1.709,-1.138,-1.574,,0.824,68.511,1.154,25,3,21,2,Inf,Paracou,,,,,,,,,,,,75.39144583,0.201958738,1.020041918,3.786102787,5.008103442
101,145139,14,4,898,Poraqueiba,guianensis,Poraqueiba_guianensis,Metteniusaceae,TF,TF,1.94,1.957,0.824,1.374,-1.668,-1.997,,0.792,40.07,2.831,22,2,20,2,Mid,Paracou,,,,,,,,,,,,44.52657361,0.275785385,1.309822604,5.077607958,6.663215948
102,145294,14,4,2539,Hymenopus,heteromorphus,Hymenopus_heteromorphus,Chrysobalanaceae,Generalist,TF,1.046,1.055,0.455,1.32,-1.06,-1.512,,0.828,44.607,4.963,22,2,18,3,Inf,Paracou,,,,,,,,,,,,49.01479306,0.23556873,1.233077785,4.354290197,5.822936712
103,145148,14,4,907,Eschweilera,coriacea,Eschweilera_coriacea,Lecythidaceae,Generalist,TF,3.097,3.121,1.303,1.395,-1.168,-1.598,,0.812,98.568,2.129,18,2,14,3,Inf,Paracou,,,,,,,,,,,,108.3839667,0.16054692,0.905751987,4.012971504,5.079270411
104,143133,14,2,929,Casearia,javitensis,Casearia_javitensis,Salicaceae,TF,TF,0.6202,,,,,,,0.82,67.19907931,6.719769506,16,2,13,3,Inf,Paracou,,,,,,,,,,,,,,,,
105,142646,14,4,180,Casearia,javitensis,Casearia_javitensis,Salicaceae,TF,TF,1.376,1.347,0.708,0.902,-1.29,-1.696,,0.804,40.785,3.802,12,3,10,3,Mid,Paracou,,,,,,,,,,,,44.69167778,0.2854519,0.897313395,2.524325038,3.707090333
106,,14,4,13,Dicorynia,guianensis,Dicorynia_guianensis,Fabaceae,TF,TF,1.021,0.913,0.351,1.601,-0.995,-1.46,,0.806,109.491,8.777,8,2,8,3,Sup,Paracou,,,,,,,,,,,,119.9542556,0.161355235,1.01090278,2.195857575,3.368115591
107,142693,14,2,487,Poraqueiba,guianensis,Poraqueiba_guianensis,Metteniusaceae,TF,TF,2.263,2.257,0.983,1.296,-1.47,-1.84,,0.825,63.034,3.338,24,4,24,4,Sup,Paracou,,,,,,,,,,,,69.24987083,0.196635735,1.115899073,3.103292752,4.41582756
108,144866,14,4,624,Vouacapoua,americana,Vouacapoua_americana,Fabaceae,TF,TF,0.583,0.575,0.324,0.774,-1.798,-2.101,,0.831,45.936,9.37,23,3,21,4,Mid,Paracou,,,,,,,,,,,,51.0187875,0.290932546,0.905520992,3.865960222,5.06241376
109,145008,14,4,766,Vouacapoua,americana,Vouacapoua_americana,Fabaceae,TF,TF,0.595,0.586,0.32,0.83,-1.823,-2.121,,0.795,31.629,2.415,23,3,21,3,Sup,Paracou,,,,,,,,,,,,34.96920139,0.346966389,1.494819482,3.02764358,4.869429452
110,174162,14,4,2572,Protium,stevensonii,Protium_stevensonii,Burseraceae,Generalist,TF,1.535,1.557,0.754,1.064,-1.878,-2.165,,0.801,61.943,8.033,16,2,13,3,Mid,Paracou,,,,,,,,,,,,68.13432639,0.245370111,1.022580135,3.380178289,4.648128535
111,144753,14,4,511,Eschweilera,coriacea,Eschweilera_coriacea,Lecythidaceae,Generalist,TF,1.76,1.699,0.752,1.259,-1.08,-1.528,,0.784,61.335,2.519,20,5,17,5,Sup,Paracou,,,,,,,,,,,,67.42262083,0.220102185,0.995681331,5.3955429,6.611326415
112,144939,14,4,697,Vouacapoua,americana,Vouacapoua_americana,Fabaceae,TF,TF,0.422,0.419,0.214,0.96,-1.603,-1.945,,0.823,32.821,1.775,15,2,12,3,Mid,Paracou,,,,,,,,,,,,36.27907778,0.363536776,1.408620731,3.857224806,5.629382312
113,144945,14,4,703,Gustavia,hexapetala,Gustavia_hexapetala,Lecythidaceae,TF,TF,1.703,1.699,0.494,2.437,-1.388,-1.774,,0.788,51.709,3.853,13,2,11,3,Mid,Paracou,,,,,,,,,,,,56.77327083,0.309447804,1.148226842,4.175067903,5.632742548
114,144726,14,4,484,Licania,membranacea,Licania_membranacea,Chrysobalanaceae,TF,TF,0.766,0.771,0.363,1.123,-1.853,-2.145,,0.837,30.821,5.889,27,4,25,3,Sup,Paracou,,,,,,,,,,,,33.81692639,0.294218932,1.709402501,4.285336429,6.288957862
115,205904,14,4,3013,Tachigali,melinonii,Tachigali_melinonii,Fabaceae,Generalist,TF,0.352,0.312,0.141,1.216,-1.385,-1.772,,0.693,19.521,1.9,25,3,23,3,Mid,Paracou,,,,,,,,,,,,21.60816806,0.409637412,1.752115851,4.414562445,6.576315707
116,138317,13,2,282,Iryanthera,hostmannii,Iryanthera_hostmannii,Myristicaceae,BF,BF,2.243,2.255,1.059,1.129,-1.36,-1.752,,0.739,49.839,0.92,13,2,12,3,Sup,Paracou,,,,,,,,,,,,54.91009306,0.269953978,1.241736823,3.63687771,5.148568512
117,142689,14,2,483,Eschweilera,coriacea,Eschweilera_coriacea,Lecythidaceae,Generalist,TF,2.95,3.022,1.298,1.328,-0.968,-1.438,,0.755,69.148,3.588,16,3,11,3,Inf,Paracou,,,,,,,,,,,,77.05279861,0.221642189,1.063791012,4.981131149,6.26656435
118,142325,14,2,114,Eschweilera,coriacea,Eschweilera_coriacea,Lecythidaceae,Generalist,TF,2.259,2.271,0.986,1.302,-1.155,-1.588,,0.837,172.991,1.871,16,3,12,3,Inf,Paracou,,,,,,,,,,,,191.0899847,0.11954487,0.731495455,3.694993419,4.546033743
119,142517,14,2,310,Carapa,surinamensis,Carapa_surinamensis,Meliaceae,BF,BF,6.429,6.57,2.431,1.703,-1.293,-1.698,,0.818,265.795,2.85,15,4,15,4,Sup,Paracou,,,,,,,,,,,,255.8182944,0.130115578,0.573400012,1.08083358,1.78434917
120,142667,14,2,461,Iryanthera,hostmannii,Iryanthera_hostmannii,Myristicaceae,BF,BF,2.636,2.716,1.046,1.597,-1.12,-1.56,,0.816,50.04,0.962,12,2,11,3,Sup,Paracou,,,,,,,,,,,,55.628125,0.221328155,1.085225622,2.560894257,3.867448034
121,142472,14,2,265,Iryanthera,sagotiana,Iryanthera_sagotiana,Myristicaceae,TF,TF,1.174,1.167,0.473,1.468,-1.023,-1.482,,0.801,48.421,2.335,14,2,12,3,Mid,Paracou,,,,,,,,,,,,53.16760972,0.275918515,1.301788241,3.77000639,5.347713146
122,143155,14,2,953,Eschweilera,coriacea,Eschweilera_coriacea,Lecythidaceae,Generalist,BF,1.312,1.319,0.468,1.82,-1.32,-1.72,,0.792,104.154,2.238,8,3,8,3,Sup,Paracou,,,,,,,,,,,,114.3471208,0.142610369,0.955615504,2.8850597,3.983285573
123,142984,14,2,779,Iryanthera,hostmannii,Iryanthera_hostmannii,Myristicaceae,BF,BF,1.042,1.06,0.489,1.17,-1.195,-1.62,,0.814,39.238,2.328,10,2,7,4,Mid,Paracou,,,,,,,,,,,,43.20760833,0.32169896,1.521036835,3.432853228,5.275589024
124,142990,14,2,785,Eschweilera,coriacea,Eschweilera_coriacea,Lecythidaceae,Generalist,BF,2.781,2.822,1.405,1.008,-1.213,-1.634,,0.813,57.663,1.886,23,3,18,4,Mid,Paracou,,,,,,,,,,,,63.31020278,0.223612391,1.342166111,4.340639026,5.906417527
125,143065,14,2,861,Eperua,falcata,Eperua_falcata,Fabaceae,BF,BF,0.744,0.752,0.372,1.019,-1.468,-1.838,,0.739,33.132,1.17,29,4,27,4,Mid,Paracou,,,,,,,,,,,,36.05305278,0.330115478,2.050657586,5.556037135,7.936810198
126,142950,14,2,745,Vouacapoua,americana,Vouacapoua_americana,Fabaceae,TF,TF,0.848,0.837,0.441,0.898,-2.04,-2.295,,0.831,35.564,2.716,22,2,18,3,Mid,Paracou,,,,,,,,,,,,39.47790139,0.35322807,1.275505457,4.319033971,5.947767498
127,142685,14,2,479,Eschweilera,coriacea,Eschweilera_coriacea,Lecythidaceae,Generalist,TF,2.63,2.638,1.034,1.551,-1.13,-1.568,,0.824,136.812,0.983,16,4,13,4,Mid,Paracou,,,,,,,,,,,,150.68285,0.135477486,0.725958545,3.431322633,4.292758665
128,142527,14,2,320,Protium,opacum subsp. rabelianum,Protium_opacum,Burseraceae,BF,BF,0.869,0.861,0.349,1.466,-1.765,-2.075,,0.778,81.001,3.794,28,4,24,4,Mid,Paracou,,,,,,,,,,,,89.14956528,0.20932351,1.060842208,2.703704129,3.973869847
129,142291,14,2,80,Virola,michelii,Virola_michelii,Myristicaceae,Generalist,TF,0.922,0.932,0.403,1.31,-1.36,-1.752,,0.765,31.645,9.084,24,4,24,4,Sup,Paracou,,,,,,,,,,,,35.03875278,0.385003576,1.816154889,2.535440275,4.73659874
130,142646,14,2,440,Casearia,javitensis,Casearia_javitensis,Salicaceae,TF,TF,1.158,0.579,0.582,-0.005,-1.835,-2.131,,0.801,77.344,4.207,13,2,10,3,Mid,Paracou,,,,,,,,,,,,85.16211944,0.179666234,0.721908431,1.951952082,2.853526747
131,142662,14,2,456,Laetia,procera,Laetia_procera,Salicaceae,BF,BF,2.232,2.253,0.936,1.407,-1.625,-1.963,,0.818,55.58,2.328,34,4,31,4,Sup,Paracou,,,,,,,,,,,,60.44662639,0.172613706,1.234268907,4.139716036,5.546598649
132,143007,14,2,802,Eperua,falcata,Eperua_falcata,Fabaceae,BF,BF,0.598,0.602,0.279,1.16,-1.323,-1.722,,0.785,35.6,1.322,26,4,23,4,Mid,Paracou,,,,,,,,,,,,38.77857083,0.278431923,1.838854648,5.863625227,7.980911798
133,143035,14,2,831,Virola,surinamensis,Virola_surinamensis,Myristicaceae,BF,BF,0.862,0.91,0.321,1.835,-1.32,-1.72,,0.826,20.777,3.691,36,5,31,5,Mid,Paracou,,,,,,,,,,,,23.15390556,0.495977035,2.632303077,7.774270257,10.90255037
134,141912,14,1,763,Bocoa,prouacensis,Bocoa_prouacensis,Fabaceae,Generalist,BF,0.673,0.954,0.427,1.235,-1.46,-1.832,,0.829,62.371,2.291,23,5,20,5,Sup,Paracou,,,,,,,,,,,,68.3867375,0.171208667,1.088512412,0.890267402,2.149988481
135,143058,14,2,854,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,Bignoniaceae,Generalist,BF,0.8835,0.913,0.4585,0.9912759,,,,0.81,16.98501895,11.52409566,29,4,27,4,Sup,Paracou,,,,,,,,,,,,18.73447778,0.376160412,1.5869389,2.74944026,4.712539572
136,141725,14,1,576,Symphonia,globulifera,Symphonia_globulifera,Clusiaceae,BF,BF,0.569,0.559,0.207,1.702,-1.243,-1.658,,0.782,16.263,2.835,39,4,30,4,Inf,Paracou,,,,,,,,,,,,17.85435417,0.497614153,5.314989411,2.446052973,8.258656537
137,143297,14,3,67,Bocoa,prouacensis,Bocoa_prouacensis,Fabaceae,Generalist,BF,0.421,0.407,0.14,1.915,-1,-1.464,,0.82,38.169,1.309,22,3,18,3,Inf,Paracou,,,,,,,,,,,,41.99810833,0.278844774,1.777593476,1.030532021,3.086970271
138,141168,14,1,10,Laetia,procera,Laetia_procera,Salicaceae,BF,BF,4.283,4.334,1.774,1.444,-1.353,-1.746,,0.842,93.028,4.614,26,4,22,4,Mid,Paracou,,,,,,,,,,,,101.6870306,0.150675805,0.906621933,2.480291942,3.53758968
139,141172,14,1,14,Symphonia,globulifera,Symphonia_globulifera,Clusiaceae,BF,BF,1.458,1.453,0.544,1.673,-1.343,-1.738,,0.798,33.806,4.341,27,4,23,5,Mid,Paracou,,,,,,,,,,,,37.07021528,0.320448772,3.167331338,2.5333709,6.021151009
140,126739,11,1,216,Poraqueiba,guianensis,Poraqueiba_guianensis,Metteniusaceae,TF,TF,1.073,1.109,0.501,1.212,-1.593,-1.937,,0.831,62.423,2.247,16,2,14,2,Mid,Paracou,,,,,,,,,,,,68.88506806,0.233860421,1.110345883,3.095570837,4.43977714
141,141732,14,1,583,Tachigali,melinonii,Tachigali_melinonii,Fabaceae,Generalist,BF,0.263,0.267,0.115,1.333,-1.493,-1.858,,0.787,10.436,3.782,34,5,26,4,Inf,Paracou,,,,,,,,,,,,11.51539583,0.59047133,2.00326167,2.709386833,5.303119833
142,141516,14,1,367,Chrysophyllum,prieurii,Chrysophyllum_prieurii,Sapotaceae,Generalist,BF,1.829,1.842,0.791,1.329,-0.793,-1.298,,0.822,78.671,7.275,18,3,14,3,Inf,Paracou,,,,,,,,,,,,85.42569444,0.227997426,0.780187182,2.272050411,3.280235019
143,143313,14,3,83,Protium,opacum subsp. rabelianum,Protium_opacum,Burseraceae,BF,BF,1.647,1.659,0.71,1.337,-1.575,-1.923,,0.831,89.248,4.737,18,3,14,3,Inf,Paracou,,,,,,,,,,,,98.23691944,0.206992936,1.221303154,2.566703138,3.994999227
144,143306,14,3,76,Carapa,surinamensis,Carapa_surinamensis,Meliaceae,BF,BF,3.842,3.909,1.466,1.666,-1.375,-1.764,,0.83,98.969,1.709,24,5,24,4,Sup,Paracou,,,,,,,,,,,,110.3044778,0.175498538,0.897045461,1.883385935,2.955929935
145,141465,14,1,316,Protium,stevensonii,Protium_stevensonii,Burseraceae,Generalist,TF,0.475,0.469,0.228,1.056,-1.785,-2.091,,0.831,35.525,2.585,14,2,12,3,Mid,Paracou,,,,,,,,,,,,39.09064306,0.345935972,1.519118479,3.6645099,5.529564352
