CodeFTH,Code,DateField,Forest,Plot,SubPlot,idTree,FieldNbr,Habitat,Type,Genus,Species,Name,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,DateCalibration,Contamination,DateCollect,TreeFieldNum,FieldCode,Leaf,Repetition,LeafHealthStatus,LeafPhenoStatus,DensitySectionVeins,DateMeasure,Operator,VaproID,Run,C0,Posm,tlp,Comment,...24,...25
1,657,13/09/2021,Paracou,16,15,158148,320,BF,BF,Virola,surinamensis,Virola surinamensis,25,5,25,5,Sup,2021-08-19T00:00:00Z,1,2021-09-13T00:00:00Z,320,1,1,1,Healthy,Mature,ok,2021-08-14T00:00:00Z,AB,2,6,560,-1.4000000000000001,-1.7836000000000003,NA,NA,NA
2,658,13/09/2021,Paracou,16,15,205438,"2,745",BF,Generalists,Jacaranda,copaia,Jacaranda copaia,20,5,20,5,Sup,2021-09-13T00:00:00Z,0,2021-09-13T00:00:00Z,2545,2,1,1,Healthy,Young,ok,2021-09-14T00:00:00Z,CT,1,9,500,-1.25,-1.66375,Feuilles noircies,NA,NA
3,659,13/09/2021,Paracou,16,15,191854,"2,727",BF,BF,Virola,surinamensis,Virola surinamensis,18,4,18,4,Sup,2021-08-19T00:00:00Z,1,2021-09-13T00:00:00Z,2727,3,1,1,Healthy,Mature,ok,2021-08-14T00:00:00Z,AB,2,5,504,-1.26,-1.67174,NA,NA,NA
4,660,13/09/2021,Paracou,16,15,157940,106,TF,TF,Gustavia,hexapetala,Gustavia hexapetala,10,1,8,2,Inf,2021-09-13T00:00:00Z,0,2021-09-13T00:00:00Z,106,4,1,1,Epiphytes,Mature,ok,2021-09-14T00:00:00Z,CT,1,10,747,-1.8675,-2.1571325000000003,NA,NA,NA
5,661,13/09/2021,Paracou,16,14,157726,413,TF,TF,Casearia,javitensis,Casearia javitensis,8,3,5,2,Inf,2021-08-19T00:00:00Z,1,2021-09-13T00:00:00Z,413,5,1,1,Healthy,Mature,ok,2021-08-14T00:00:00Z,AB,2,4,769,-1.9225,-2.2010775000000002,NA,NA,NA
9,662,13/09/2021,Paracou,16,14,157691,378,BF,BF,Virola,surinamensis,Virola surinamensis,28,4,25,3,Inf,2021-08-19T00:00:00Z,1,2021-09-13T00:00:00Z,378,9,1,1,Healthy,Mature,ok,2021-08-14T00:00:00Z,AB,2,5,517,-1.2925,-1.6977075000000001,NA,NA,NA
11,663,13/09/2021,Paracou,16,15,158037,205,BF,Generalists,Chrysophyllum,prieurii,Chrysophyllum prieurii,28,4,24,3,Mid,2021-08-19T00:00:00Z,1,2021-09-13T00:00:00Z,205,11,1,1,Healthy,Mature,ok,2021-08-14T00:00:00Z,AB,2,8,981,-2.4525,-2.6245475000000003,NA,NA,NA
12,664,13/09/2021,Paracou,16,15,158036,204,BF,BF,Laetia,procera,Laetia procera,33,5,33,5,Sup,2021-08-19T00:00:00Z,1,2021-09-13T00:00:00Z,204,12,1,1,Healthy,Mature,ok,2021-08-14T00:00:00Z,AB,2,4,606,-1.5150000000000001,-1.8754850000000003,NA,NA,NA
13,665,13/09/2021,Paracou,16,16,158450,101,TF,Generalists,Protium,stevensonii,Protium stevensonii,28,4,26,4,Sup,2021-08-19T00:00:00Z,1,2021-09-14T00:00:00Z,101,13,1,1,Healthy,Mature,ok,2021-09-15T00:00:00Z,MK,2,4,637,-1.5925,-1.9374075000000002,NA,NA,NA
15,666,13/09/2021,Paracou,16,16,158485,136,TF,Generalists,Protium,stevensonii,Protium stevensonii,25,3,22,3,Inf,2021-08-19T00:00:00Z,1,2021-09-14T00:00:00Z,136,15,1,1,Healthy,Mature,ok,2021-09-15T00:00:00Z,MK,2,8,753,-1.8825,-2.1691175000000005,NA,NA,NA
16,667,13/09/2021,Paracou,16,16,158574,226,TF,Generalists,Conceveiba,guianensis,Conceveiba guianensis,10,3,10,3,Inf,2021-09-13T00:00:00Z,0,2021-09-14T00:00:00Z,226,16,1,1,Healthy,Mature,ok,2021-09-15T00:00:00Z,SM,1,8,645,-1.6125,-1.9533875,NA,NA,NA
21,668,13/09/2021,Paracou,16,11,156021,403,BF,Generalists,Tachigali,melinonii,Tachigali melinonii,25,5,25,5,Inf,2021-08-19T00:00:00Z,1,2021-09-14T00:00:00Z,403,21,1,1,Healthy,Young,ok,2021-09-15T00:00:00Z,MK,2,NA,NA,NA,NA,trace of fungi,NA,NA
24,669,13/09/2021,Paracou,16,16,158903,556,BF,Generalists,Chrysophyllum,prieurii,Chrysophyllum prieurii,26,5,26,5,Sup,2021-09-13T00:00:00Z,0,2021-09-14T00:00:00Z,556,24,1,1,Healthy,Mature,ok,2021-09-15T00:00:00Z,SM,1,10,950,-2.375,-2.562625,Pas de <5 au 1er cycle,NA,NA
30,670,13/09/2021,Paracou,16,17,159252,273,BF,Generalists,Protium,stevensonii,Protium stevensonii,25,4,19,3,Sup,2021-09-13T00:00:00Z,0,2021-09-14T00:00:00Z,273,30,1,1,Healthy,Mature,ok,2021-09-15T00:00:00Z,SM,1,10,952,-2.38,-2.5666200000000003,NA,NA,NA
31,671,13/09/2021,Paracou,16,17,246993,"2,799",BF,Generalists,Jacaranda,copaia,Jacaranda copaia,15,5,15,5,Sup,2021-08-19T00:00:00Z,1,2021-09-14T00:00:00Z,2799,31,1,1,Epiphytes,Mature,ok,2021-09-15T00:00:00Z,MK,2,5,499,-1.2475,-1.6617525000000002,leaf color tends to dark,NA,NA
38,672,13/09/2021,Paracou,16,1,150153,215,TF,Generalists,Protium,stevensonii,Protium stevensonii,17,3,15,3,Inf,2021-09-13T00:00:00Z,0,2021-09-15T00:00:00Z,215,38,1,1,Healthy,Mature,ok,2021-09-16T00:00:00Z,LA,1,5,906,-2.265,-2.474735,NA,NA,NA
41,673,13/09/2021,Paracou,16,6,153081,286,TF,TF,Casearia,javitensis,Casearia javitensis,10,3,9,4,Inf,2021-08-19T00:00:00Z,1,2021-09-15T00:00:00Z,286,41,1,1,Healthy,Mature,ok,2021-09-16T00:00:00Z,OGR,2,10,609,-1.5225,-1.8814775000000001,NA,NA,NA
43,674,13/09/2021,Paracou,16,6,153135,340,TF,TF,Casearia,javitensis,Casearia javitensis,8,2,5,3,Inf,2021-08-19T00:00:00Z,1,2021-09-15T00:00:00Z,340,43,1,1,Healthy,Mature,ok,2021-09-16T00:00:00Z,OGR,2,NA,NA,NA,NA,NA,NA,NA
44,675,13/09/2021,Paracou,16,6,153255,460,BF,Generalists,Virola,michelii,Virola michelii,20,3,17,2,Inf,2021-09-13T00:00:00Z,0,2021-09-15T00:00:00Z,460,44,1,1,Healthy,Mature,ok,2021-09-16T00:00:00Z,LA,1,10,590,-1.475,-1.843525,NA,NA,NA
47,676,13/09/2021,Paracou,16,6,153190,395,BF,Generalists,Chrysophyllum,prieurii,Chrysophyllum prieurii,30,5,26,3,Inf,2021-08-19T00:00:00Z,1,2021-09-15T00:00:00Z,395,47,1,1,Healthy,Mature,ok,2021-09-16T00:00:00Z,OGR,2,10,790,-1.975,-2.2430250000000003,NA,NA,NA
49,677,13/09/2021,Paracou,16,3,151265,103,BF,Generalists,Chrysophyllum,prieurii,Chrysophyllum prieurii,30,4,30,4,Sup,2021-08-19T00:00:00Z,1,2021-09-15T00:00:00Z,103,49,1,1,Healthy,Mature,ok,2021-09-16T00:00:00Z,OGR,2,8,887,-2.2175000000000002,-2.4367825000000005,NA,NA,NA
58,678,13/09/2021,Paracou,16,5,205242,"2,730",BF,Generalists,Virola,michelii,Virola michelii,13,2,12,3,Mid,2021-08-19T00:00:00Z,1,2021-09-15T00:00:00Z,2730,58,1,1,Healthy,Mature,ok,2021-09-16T00:00:00Z,OGR,2,8,698,-1.745,-2.0592550000000003,NA,NA,NA
60,679,13/09/2021,Paracou,16,22,162848,396,TF,Generalists,Conceveiba,guianensis,Conceveiba guianensis,15,2,15,3,Sup,2021-08-19T00:00:00Z,1,2021-09-16T00:00:00Z,396,60,1,1,Epiphytes,Mature,ok,2021-09-17T00:00:00Z,AB,2,5,776,-1.94,-2.2150600000000003,NA,NA,NA
63,680,13/09/2021,Paracou,16,21,161595,122,BF,Generalists,Protium,stevensonii,Protium stevensonii,17,4,15,3,Mid,2021-09-13T00:00:00Z,0,2021-09-16T00:00:00Z,122,63,1,1,Healthy,Mature,ok,2021-08-17T00:00:00Z,CT,1,10,929,-2.3225000000000002,-2.5206775000000006,5 pile,NA,NA
65,681,13/09/2021,Paracou,16,21,161834,364,BF,BF,Virola,surinamensis,Virola surinamensis,17,4,15,3,Mid,2021-09-13T00:00:00Z,0,2021-09-16T00:00:00Z,364,65,1,1,Healthy,Mature,ok,2021-08-17T00:00:00Z,CT,1,10,580,-1.45,-1.82355,NA,NA,NA
67,682,13/09/2021,Paracou,16,21,162095,625,BF,BF,Virola,surinamensis,Virola surinamensis,17,4,15,3,Mid,2021-09-13T00:00:00Z,0,2021-09-16T00:00:00Z,625,67,1,1,Healthy,Mature,ok,2021-08-17T00:00:00Z,CT,1,7,563,-1.4075,-1.7895925000000001,NA,NA,NA
69,683,13/09/2021,Paracou,16,18,159754,77,BF,Generalists,Virola,michelii,Virola michelii,17,4,14,3,Inf,2021-08-19T00:00:00Z,1,2021-09-16T00:00:00Z,77,69,1,1,Healthy,Mature,ok,2021-09-17T00:00:00Z,AB,2,8,647,-1.6175,-1.9573825,NA,NA,NA
70,684,13/09/2021,Paracou,16,25,164281,50,BF,Generalists,Virola,michelii,Virola michelii,20,3,15,3,Inf,2021-08-19T00:00:00Z,1,2021-09-16T00:00:00Z,50,70,1,1,Healthy,Mature,ok,2021-09-17T00:00:00Z,AB,2,5,545,-1.3625,-1.7536375000000002,fungus,NA,NA
75,685,13/09/2021,Paracou,16,19,160658,438,TF,Generalists,Protium,stevensonii,Protium stevensonii,30,5,28,5,Mid,2021-09-13T00:00:00Z,0,2021-09-16T00:00:00Z,438,75,1,1,Healthy,Mature,ok,2021-08-17T00:00:00Z,CT,1,6,917,-2.2925,-2.4967075000000003,NA,NA,NA
77,686,13/09/2021,Paracou,16,10,155518,444,BF,Generalists,Virola,michelii,Virola michelii,22,4,16,4,Mid,2021-09-13T00:00:00Z,0,2021-09-16T00:00:00Z,444,77,1,1,Healthy,Mature,ok,2021-08-17T00:00:00Z,CT,1,9,538,-1.345,-1.7396550000000002,NA,NA,NA
89,687,13/09/2021,Paracou,6,1,101046,435,TF,TF,Casearia,javitensis,Casearia javitensis,18,3,16,3,Inf,2021-09-13T00:00:00Z,0,2021-09-17T00:00:00Z,435,89,1,1,Healthy,Young,ok,2021-08-18T00:00:00Z,SM,1,8,719,-1.7975,-2.1012025000000003,NA,NA,NA
94,688,13/09/2021,Paracou,16,16,158450,101,TF,Generalists,Protium,stevensonii,Protium stevensonii,32,4,30,4,Sup,2021-09-13T00:00:00Z,0,2021-10-30T00:00:00Z,101,94,1,1,Healthy,Mature,ok,2021-10-01T00:00:00Z,MB,1,7,833,-2.0825,-2.3289175,"dure à faire des disque, la feuille est tres cassante",NA,"dure à faire des disque, la feuille est tres cassante"
95,689,13/09/2021,Paracou,16,21,161595,122,TF,Generalists,Protium,stevensonii,Protium stevensonii,15,3,11,3,Inf,2021-09-13T00:00:00Z,0,2021-10-30T00:00:00Z,122,95,1,1,Healthy,Mature,ok,2021-10-01T00:00:00Z,MB,1,10,670,-1.675,-2.0033250000000002,"5 pile, dure à faire des disque, la feuille est tres cassante",NA,"5 pile, dure à faire des disque, la feuille est tres cassante"
96,690,13/09/2021,Paracou,16,6,153135,340,TF,TF,Casearia,javitensis,Casearia javitensis,12,2,8,3,Inf,2021-09-13T00:00:00Z,0,2021-10-30T00:00:00Z,340,96,1,1,Healthy,Mature,ok,2021-10-01T00:00:00Z,MB,1,4,527,-1.3175000000000001,-1.7176825000000002,NA,NA,NA
98,691,13/09/2021,Paracou,16,10,155131,53,BF,Generalists,Chrysophyllum,prieurii,Chrysophyllum prieurii,13,5,10,3,Mid,2021-09-13T00:00:00Z,0,2021-10-30T00:00:00Z,53,98,1,1,Healthy,Mature,ok,2021-10-01T00:00:00Z,MB,1,9,738,-1.845,-2.139155,NA,NA,NA
