Code,idTree,Genus,Species,gmin,TLP,midribVLA,SecondaryVLA,TertiaryVLA,MajVLA,N,C,P,Ca,Na,K,FW,SW,DW,LSWC,SD,FVFM,DateField,Forest,Plot,SubPlot,FieldNbr,Habitat,Type,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition
1,145493,Iryanthera,hostmannii,1.12970896112281,-1.56787,0.311733524,1.7320258115,3.895902389,5.9396617245,1.43,53.62,0.887238664829659,3.58686327199854,0.0486382765531062,11.196360104825,1.2679999999999998,1.2632,0.5006,1.5233719536556132,227.5641026,0.786,26/10/2020,Paracou,15,1,182,BF,BF,12,4,10,4,Sup
2,147663,Gustavia,hexapetala,0.820423092997013,-1.9114400000000002,0.29420474799999996,1.1287494745,3.261022014,4.6839762364999995,2.3,49.74,0.708380949398798,6.68180315175806,1.37774649298597,7.40377493448436,1.2930000000000001,1.3196,0.4643,1.842127934525092,192.3076923,0.797,26/10/2020,Paracou,15,3,178,TF,TF,11,2,9,2,Sup
3,147783,Iryanthera,hostmannii,0.933823458987189,-1.4859725000000001,0.302325974,1.4398700034999998,4.6395366135,6.3817325905,1.54,53.56,0.934496939030485,3.06090909090909,0.0560629685157421,11.3932707492408,0.8774999999999995,0.874,0.3492,1.5028636884306985,198.7179487,0.807,26/10/2020,Paracou,15,3,298,BF,BF,12,2,13,3,Sup
4,147625,Tachigali,melinonii,2.89926807645227,-1.87149,0.5465697764999999,2.538922392,4.256712641,7.34220481,2.36,52.29,0.672119947604791,2.58202549446561,0.426587824351297,6.53589559342853,0.258,0.2559,0.1208,1.1183774834437086,294.8717949,0.84,26/10/2020,Paracou,15,3,140,TF,Generalist,33,5,23,4,Mid
5,148586,Chrysophyllum,prieurii,1.67448445467279,-2.5845975,0.33342907499999996,1.076097558,5.692870441,7.102397073500001,1.68,53.59,0.606448067331671,3.74732124234867,0.779043391521197,8.18849614425475,1.0868000000000002,1.1231,0.5347,1.1004301477464,NA,0.773,26/10/2020,Paracou,15,3,1103,TF,Generalist,24,4,21,4,Sup
6,149072,Conceveiba,guianensis,6.0751147961031,-1.7256725000000002,0.21895994800000002,0.836178098,2.2352241165,3.290362163,1.38,49.44,0.513491169839679,9.45234423392239,0.268728456913828,2.48894527516572,2.1957999999999993,2.2109,1.0103,1.1883598931010593,278.8461538,0.8,26/10/2020,Paracou,15,4,369,TF,Generalist,15,2,14,3,Sup
7,146131,Licania,membranacea,3.26507632748425,-1.947395,0.2094532025,1.0842903795,1.3812403115,2.6749838935000003,1.41,49.06,0.3907891875,8.84843954545455,1.354991,5.41896738461538,1.1904000000000003,1.2108,0.5401,1.241807072764303,NA,0.82,26/10/2020,Paracou,15,1,824,TF,TF,20,4,15,2,Inf
9,146342,Hymenopus,heteromorphus,7.48926981903208,-1.5978325,0.2951786165,1.1650841564999999,3.146078157,4.60634093,1.32,51.9,0.39209709040959,2.28840114431024,1.54944155844156,3.99522216245293,0.6881999999999993,0.6994,0.286,1.4454545454545458,144.2307692,0.784,26/10/2020,Paracou,15,2,84,TF,Generalist,20,4,18,3,Inf
10,146466,Conceveiba,guianensis,8.59268520762157,-1.8754850000000003,0.24928567000000001,0.85303324,2.6728600145,3.775178924,1.8,48.32,0.94707004740519,5.72698557430593,0.0574261477045908,7.02990756947643,2.2606,2.2967,1.0813,1.124017386479238,151.5151515,0.812,26/10/2020,Paracou,15,2,209,TF,Generalist,18,3,16,3,Sup
11,146404,Hymenopus,heteromorphus,3.5658452310616,-1.5099425000000002,0.4709202535,2.2044516955,5.382497452,8.057869401000001,1.38,50.76,0.43149843828086,2.78104902094407,1.69764217891054,2.2938204743782,0.3067000000000002,0.3108,0.1429,1.1749475157452767,227.5641026,0.79,26/10/2020,Paracou,15,2,147,TF,Generalist,22,2,18,3,Inf
12,148074,Jacaranda,copaia subsp. copaia,3.14565441798853,NA,0.3548206135,1.4524235115,3.8340464279999997,5.641290553,2.07,53.18,0.658318391521197,4.23659805032872,0.972060847880299,3.41941883752158,0.37289999999999957,0.3782,0.1403,1.6956521739130432,266.025641,0.794,26/10/2020,Paracou,15,3,590,TF,Generalist,28,5,26,5,Sup
13,146431,Dicorynia,guianensis,4.61810991149576,-1.3221775,0.2399887745,1.500403236,2.53387524,4.2742672505,1.88,53.17,0.710109132933533,1.43172368361274,0.137422288855572,6.80056710106485,1.7077999999999998,1.7274,0.6699,1.5785938199731304,NA,0.814,26/10/2020,Paracou,15,2,174,TF,TF,32,5,26,3,Mid
14,146475,Dicorynia,guianensis,3.00563860384042,-1.3421525,0.311391576,1.660683584,2.418404907,4.390480067,2.12,52.4,0.7534641875,1.54343954545455,0.102941,6.68896738461539,1.6265999999999998,1.664,0.6452,1.5790452572845628,278.8461538,0.818,26/10/2020,Paracou,15,2,218,TF,TF,30,4,24,2,Mid
15,147620,Casearia,javitensis,2.22251253240536,-2.0252975,0.19577186749999997,0.7998282645,2.2853219175,3.2809220505,1.4,51.51,0.548141974538193,4.77976989061862,0.0991422865701448,3.38339229617113,2.0017999999999994,2.0572,1.0086,1.0396589331746977,352.5641026,0.797,26/10/2020,Paracou,15,3,135,TF,TF,10,3,10,3,Sup
16,148282,Hymenopus,heteromorphus,2.11940104162358,-1.53591,0.261319896,1.2167137845,4.355341033,5.8333747135,0.96,50.68,0.458247692115768,4.91361232081292,0.132725548902196,6.77541655151236,2.6112,2.6934,1.1104,1.4256123919308357,227.5641026,0.747,26/10/2020,Paracou,15,3,798,TF,Generalist,17,3,17,3,Mid
17,147574,Bocoa,prouacensis,3.65040709143175,-1.9334125000000002,0.383592788,1.5065442725,1.437168862,3.3273059225,1.7,55.87,0.347919389027431,0.864777601450918,0.603482294264339,1.41592756570113,1.3856000000000002,1.3964,0.8431,0.6562685327956354,250,0.789,26/10/2020,Paracou,15,3,89,BF,Generalist,18,4,16,4,Sup
18,148283,Chrysophyllum,prieurii,0.898377368572357,-2.63054,0.327076567,1.2998702545,7.532606517,9.159553339,NA,NA,NA,NA,NA,NA,0.8864000000000001,0.9135,0.4211,1.1693184516741868,224.3589744,0.785,26/10/2020,Paracou,15,3,799,TF,Generalist,23,5,21,5,Mid
19,147656,Hymenopus,heteromorphus,4.73684345695867,-1.5319150000000001,0.379723696,2.1859626785,7.0103845545,9.576070931,1.26,49.99,0.4303141875,3.16843954545455,1.054991,2.83996738461538,0.5031999999999996,0.514,0.2296,1.2386759581881532,205.1282051,0.744,26/10/2020,Paracou,15,3,171,TF,Generalist,15,3,13,3,Sup
20,148077,Bocoa,prouacensis,1.46196609841021,-1.6697425000000001,0.2454432025,0.931822164,2.011199059,3.1884644245000002,1.9,54.24,0.523940247252747,1.06837117428027,1.28270829170829,4.70426312149389,1.5796000000000001,1.602,0.7418,1.1596117551900782,233.974359,0.788,26/10/2020,Paracou,15,3,593,TF,Generalist,22,3,16,4,Mid
156,144042,Poraqueiba,guianensis,1.72846590511377,-2.075235,0.2091832325,1.0107810135,3.3074537399999997,4.527417986,1.12,50.19,0.386825241425242,5.80657942057942,0.367796489225061,3.59025010703582,1.4580000000000002,1.4794,0.6754,1.190405685519692,298.0769231,0.822,9/11/2020,Paracou,14,3,814,TF,TF,18,3,16,2,Mid
157,143500,Protium,opacum subsp. rabelianum,16.5026383843146,-2.2809775,0.34455464950000003,1.751753425,4.200868001,6.2971760754999995,1.14,51.46,0.5205665001665,5.94144455544456,0.999864421292993,5.43815220493792,1.1506999999999996,1.167,0.5011,1.3288764717621235,349.3589744,0.795,9/11/2020,Paracou,14,3,271,BF,BF,18,3,16,2,Mid
158,144184,Iryanthera,hostmannii,1.42105119131965,-1.66375,0.19506464950000002,1.083970101,3.3739210594999998,4.6529558095,1.48,50.95,0.845241824841825,5.75662937062937,0.058106179534751,11.3672231340089,1.9061000000000003,1.9132,0.8265,1.314821536600121,118.5897436,0.801,9/11/2020,Paracou,14,3,2659,BF,BF,12,2,10,3,Mid
159,143542,Eschweilera,coriacea,1.13993917390646,-1.6857225000000002,0.239431497,1.1934061685000001,5.355810193,6.788647858,1.35,54.47,0.407040586960147,2.41234217108554,1.54313585364111,3.18768419924248,1.3631000000000002,1.3997,0.6197,1.2586735517185732,492.4242424,0.812,9/11/2020,Paracou,14,3,314,TF,Generalist,20,3,20,4,Sup
160,143554,Poraqueiba,guianensis,4.19157732313851,-2.0173075000000003,0.260763445,1.256630627,3.4047438330000004,4.922137905,1.13,47.68,0.640087066666667,3.058636,0.376264285714286,5.61859035714286,0.9823000000000004,1.0508,0.3861,1.7215747215747215,304.4871795,0.813,9/11/2020,Paracou,14,3,326,TF,TF,18,2,14,4,Inf
161,143929,Chrysophyllum,prieurii,1.22351079241515,-2.20707,0.1303132395,0.6430487924999999,2.946946365,3.720308397,1.89,52.38,0.530617684351018,14.1114974974975,0.328292578292578,5.38897933647934,1.1573000000000002,1.2013,0.4946,1.4288313788920342,173.0769231,0.802,9/11/2020,Paracou,14,3,701,BF,Generalist,22,3,15,2,Inf
162,143947,Jacaranda,copaia subsp. copaia,6.19428253934471,-1.5538875,0.3300261955,1.7274393455000001,2.8169099495,4.8743754905,2.08,53.36,0.544997072521623,5.87563473053892,0.476561163387511,2.41176682349587,0.42300000000000004,0.4275,0.1923,1.2230889235569422,272.4358974,0.794,9/11/2020,Paracou,14,3,719,TF,Generalist,22,5,18,3,Inf
163,143969,Tachigali,melinonii,2.8040916266446,-1.9274200000000001,0.6900418610000001,2.2322741855,5.488820456,8.411136503,2.6,46.05,0.667917273482959,2.61459950124688,0.282458140363377,6.38263377271108,0.2696999999999994,0.2794,0.123,1.2715447154471544,304.4871795,0.802,9/11/2020,Paracou,14,3,741,TF,Generalist,35,5,23,4,Mid
164,143250,Bocoa,prouacensis,2.11102597141774,-1.8754850000000003,0.2872121015,1.195661976,2.4810541845,3.9639282624999996,2.25,60.21,0.490791670831251,1.36020589705147,0.582073249089741,5.83067501963304,0.6247999999999996,0.5806,0.2898,1.0034506556245686,253.2051282,0.805,9/11/2020,Paracou,14,3,20,BF,Generalist,24,3,18,4,Mid
165,143346,Laetia,procera,0.861663981071745,-2.05526,0.1498475165,1.0095423075,3.4261684505,4.5855582735,1.42,45.43,0.864383642129862,2.84615523284927,0.803068889047857,12.3621335574791,2.255299999999999,2.308,0.8963,1.5750306816913977,568.1818182,0.822,9/11/2020,Paracou,14,3,116,BF,BF,25,3,23,3,Sup
166,143641,Poraqueiba,guianensis,1.4545355653009,-1.8175575000000002,0.17969516400000002,0.986224133,3.2553125415000004,4.421231839000001,0.93,53.18,0.378265331998665,4.09423023023023,0.170885170885171,2.60894930644931,2.4307000000000007,2.4783,1.0602,1.3375778155065081,352.5641026,0.778,9/11/2020,Paracou,14,3,413,TF,TF,10,3,7,4,Mid
167,143877,Eschweilera,coriacea,0.752451762210031,-1.63179,0.18174156000000002,0.9811718229999999,4.697256609,5.8601699915,1.69,54.88,0.603380306054557,6.21495608782435,0.1633875106929,5.56246542629028,1.9959999999999996,2.0445,0.9561,1.138374647003452,435.8974359,0.8,9/11/2020,Paracou,14,3,649,BF,Generalist,22,4,20,4,Sup
168,144204,Jacaranda,copaia subsp. copaia,2.98896104862225,-1.51993,0.39115368650000004,1.007191569,2.229195103,3.6275403585,2.14,48.68,0.49081410192147,4.3527679197995,0.678560687432868,2.28079233798783,0.5599999999999996,0.573,0.2513,1.2801432550736167,189.1025641,0.795,9/11/2020,Paracou,14,3,2679,BF,Generalist,17,2,17,2,Sup
169,144207,Tachigali,melinonii,1.52544551694903,-1.7656225,0.378414045,1.479070485,3.0899800199999996,4.9474645504999994,3.22,51.62,0.753087066666667,4.997386,0.252314285714286,6.98359035714286,0.40580000000000016,0.4223,0.1857,1.2740980075390416,125,0.83,9/11/2020,Paracou,14,3,2682,TF,Generalist,32,5,22,5,Mid
170,144835,Iryanthera,sagotiana,1.00698750909137,-1.5938375000000002,0.377409131,2.0682526575,6.721798679,9.1674604675,1.11,48.76,0.584756579826319,1.91271142284569,1.53643716003435,6.11582200114515,0.6859999999999999,0.6889,0.2607,1.642500958956655,73.71794872,0.817,9/11/2020,Paracou,14,4,593,TF,TF,15,3,13,3,Mid
175,144269,Dicorynia,guianensis,2.6831316421074898,-1.45601,0.1813278815,1.099401115,3.948591995,5.2293209915,2.36,52.05,1.01559486409872,1.0263991995998,0.0176681197741728,7.14216143786179,1.3924000000000003,1.4232,0.5538,1.5698808234019503,NA,0.834,9/11/2020,Paracou,14,4,26,TF,TF,25,3,25,4,Sup
140,126739,Poraqueiba,guianensis,3.85123440204996,-1.9374075000000002,0.23386042099999999,1.1103458824999999,3.0955708370000004,4.4397771405,1.06,51.46,0.453060536398468,7.60858170914543,0.542592989219676,4.43087491968302,1.0728999999999997,1.1088,0.5012,1.2122905027932962,314.1025641,0.831,12/11/2020,Paracou,11,1,216,TF,TF,16,2,14,2,Mid
174,205811,Jacaranda,copaia subsp. copaia,4.10760703903315,NA,0.35436530050000004,1.82360001,0.9635401429999999,3.1415054534999998,1.78,54.33,0.464594363848591,10.6076898449225,0.893811191309941,2.34176123776174,0.9079000000000006,0.9028,0.4019,1.2463299328191095,262.8205128,0.821,12/11/2020,Paracou,11,2,2966,BF,Generalist,13,5,13,4,Sup
177,128304,Jacaranda,copaia subsp. copaia,5.53623491924963,-1.8255475,0.48342046299999997,1.7995446875,5.559386678499999,7.842351829,2.38,53.14,0.772700716308512,2.52887156421789,1.29271792675091,3.01233419004783,0.6602000000000006,0.6747,0.2207,2.0570910738559127,275.6410256,0.822,12/11/2020,Paracou,11,2,558,TF,Generalist,18,3,17,3,Mid
178,131244,Pterocarpus,officinalis,3.99042521962479,-1.4080700000000002,0.22723567249999999,0.9653079275,3.083099218,4.275642818,2.79,52.03,1.48331203471875,2.04445267901853,0.0315065455325846,14.0396498318907,0.6420000000000003,0.6619,0.214,2.092990654205608,NA,0.817,12/11/2020,Paracou,11,4,2848,BF,BF,13,5,11,5,Inf
179,226979,Hymenopus,heteromorphus,2.20049185351678,-1.36013,0.40244144800000003,1.4960303069999998,6.2866380135,8.1851097685,1.11,44.77,0.423227225827925,2.59624163754368,0.670358747592896,1.80288602810071,0.8365999999999998,0.8407,0.3776,1.2264300847457628,265.1515152,0.829,12/11/2020,Paracou,11,2,2979,BF,Generalist,15,2,13,4,Mid
180,226634,Jacaranda,copaia subsp. copaia,4.41573075292566,NA,0.3050346525,1.28805999,1.9477421709999998,3.5408368135000003,2.32,58.79,0.636268932200566,5.00488355822089,0.819454558435068,2.78419825801385,0.9463999999999997,0.9776,0.4055,1.4108508014796548,288.4615385,0.783,12/11/2020,Paracou,11,2,2972,BF,Generalist,13,5,13,4,Inf
181,130974,Hymenopus,heteromorphus,3.03103205774063,-1.5259225,0.300311771,1.3571390115000002,4.918284838,6.575735621,1.13,49.94,0.433337072275079,2.14209914872309,0.787545604120467,6.12277451892124,0.6600000000000001,0.6641,0.2723,1.438854204921043,211.5384615,0.842,12/11/2020,Paracou,11,4,994,BF,Generalist,18,2,16,3,Mid
182,131011,Pterocarpus,officinalis,1.7014204922290601,-1.6158100000000002,0.296633639,1.3638603075,4.8601277425,6.520621689,3.09,52.03,1.4728777500416,2.59249725411882,0.0337486627202054,18.630644390557,0.6008000000000004,0.6039,0.1588,2.802896725440806,375,0.809,12/11/2020,Paracou,11,4,1032,BF,BF,23,3,19,4,Inf
183,127971,Conceveiba,guianensis,1.61316307743964,-1.63978,0.20197678149999998,0.6535118805,1.6027086515,2.458197314,1.56,47.21,0.669087066666667,6.202386,0.0486142857142857,6.10359035714286,1.5260999999999996,1.548,0.7144,1.1668533034714446,NA,0.803,12/11/2020,Paracou,11,2,196,TF,Generalist,15,2,14,3,Sup
184,127386,Poraqueiba,guianensis,6.33800927274563,-1.8654975,0.1994129335,1.000994319,3.0647140884999997,4.265121341,0.73,46.3,0.387818157587873,4.14356421789105,0.460833868779896,6.56530770329121,1.7951999999999995,1.8121,0.8362,1.1670652953838794,365.3846154,0.809,12/11/2020,Paracou,11,1,896,TF,TF,18,4,16,4,Mid
186,226623,Jacaranda,copaia subsp. copaia,5.13933657295389,-1.3761100000000002,0.343924538,1.5715343685,1.003420486,2.918879393,2.04,53.23,0.51434423878606,3.79053126563282,0.675201886657615,2.41629850639605,0.9294000000000002,0.925,0.3751,1.4660090642495336,291.6666667,0.831,12/11/2020,Paracou,11,1,2966,TF,Generalist,22,4,21,4,Sup
187,184588,Jacaranda,copaia subsp. copaia,1.33215480689724,-1.4679950000000002,0.392978858,2.0507313015,2.945324596,5.3890347555,2.33,54.48,0.613814696058784,5.3380621242485,0.973811909533352,2.52263562839966,0.3433999999999999,0.3438,0.1336,1.5733532934131738,269.2307692,0.8,12/11/2020,Paracou,11,4,2905,TF,Generalist,17,4,16,4,Sup
189,129933,Virola,michelii,1.68988394299815,-2.035285,0.29589732950000003,1.8838509605,4.320344039,6.500092329499999,1.47,49.01,0.503087066666667,3.470136,0.578864285714286,5.01109035714286,0.6318999999999999,0.6596,0.2935,1.2473594548551958,NA,0.691,12/11/2020,Paracou,11,3,1044,TF,Generalist,25,4,22,4,Mid
190,130118,Virola,michelii,2.93222769900723,-2.0252975,0.4163105025,2.123851988,3.3560861705000002,5.896248661,1.44,52.55,0.481868935602269,5.55293893893894,0.421786071786072,4.09268304018304,0.9554,0.9638,0.4181,1.3051901458981103,NA,0.776,12/11/2020,Paracou,11,4,48,TF,Generalist,26,3,23,3,Mid
191,129381,Poraqueiba,guianensis,0.88954381350864,-1.8515150000000002,0.2595336575,1.1896434660000001,3.713730031,5.162907154,1.17,56.68,0.432344411077744,6.61900500500501,0.61998426998427,3.15399435149435,2.7494999999999994,2.8015,1.1642,1.4063734753478785,326.9230769,0.803,12/11/2020,Paracou,11,3,468,TF,TF,17,4,14,3,Sup
192,130018,Jacaranda,copaia subsp. copaia,5.51353559292352,-1.2462725000000001,0.538209156,1.662745931,2.588450579,4.7894056665,1.84,51.25,0.630326413838989,3.63711177644711,0.835193897918449,2.87359317080125,0.41110000000000024,0.4153,0.1437,1.8900487125956855,214.7435897,0.816,12/11/2020,Paracou,11,3,2301,BF,Generalist,28,4,24,4,Sup
193,129031,Virola,michelii,2.88592214694604,-1.723675,0.22977528949999998,1.280254844,3.600907248,5.110937380999999,1.9,50.91,0.579666733400067,7.48487087087087,0.771635921635922,4.49333369083369,2.0078999999999994,2.0122,0.8127,1.4759443829211272,NA,0.785,12/11/2020,Paracou,11,3,103,TF,Generalist,18,2,15,3,Mid
194,128754,Tachigali,melinonii,2.34369556254506,-2.23903,0.576319429,2.227725585,3.9011674149999997,6.705212428499999,2.98,53.65,0.682904162504163,2.32830769230769,0.178186099614671,6.83175859854431,0.26619999999999955,0.269,0.1282,1.0982839313572543,490.3846154,0.79,12/11/2020,Paracou,11,2,1031,BF,Generalist,29,5,24,5,Mid
195,128369,Conceveiba,guianensis,0.969224454550274,-1.659755,0.12417473500000001,0.49384113900000004,1.613625163,2.231641037,1.86,45.55,0.711807547797174,11.9674673316708,0.0897898111863199,3.21929212682579,1.1837999999999997,1.203,0.5868,1.0501022494887526,NA,0.807,12/11/2020,Paracou,11,2,628,TF,Generalist,16,2,16,3,Mid
116,138317,Iryanthera,hostmannii,1.0156013465093,-1.75164,0.269953978,1.241736823,3.6368777094999998,5.148568511500001,1.6,51.88,0.616703770437104,9.76715315315315,0.328442728442728,8.16175210925211,2.242799999999999,2.2548,1.0593,1.128575474369867,134.6153846,0.739,13/11/2020,Paracou,13,2,282,BF,BF,13,2,12,3,Sup
148,138144,Laetia,procera,2.05119225740173,-1.6617525000000002,0.16637232000000002,0.965685276,1.5749695895,2.7070271850000003,1.49,48.83,0.475287066666667,12.517386,1.61936428571429,4.84084035714286,2.4588,2.5144,0.8473,1.967543963177151,637.8205128,0.805,13/11/2020,Paracou,13,2,108,BF,BF,17,2,17,2,Sup
149,138122,Pterocarpus,officinalis,1.20415687875957,-1.6158100000000002,0.2963099555,1.464117785,2.193809128,3.9542368685,2.27,46.72,0.98060646020646,3.36701898101898,0.0186506350792065,10.6829074496932,0.5892,0.5886,0.2375,1.4783157894736845,381.4102564,0.828,13/11/2020,Paracou,13,2,86,BF,BF,28,4,23,2,Inf
150,138083,Bocoa,prouacensis,2.35154943276504,-2.1511400000000003,0.18548510550000002,0.8950370825,2.1098659795000003,3.190388168,2.28,61.12,0.567735463471459,1.2729765351972,1.01833678054347,3.31262142500535,1.6078999999999999,1.6255,0.7684,1.1154346694429984,243.5897436,0.75,13/11/2020,Paracou,13,2,47,BF,Generalist,12,5,12,4,Sup
